DateKey,FullDate,Year,Quarter,Month,MonthName,Day,DayOfWeek,IsWeekend,FiscalYear,FiscalQuarter,WeekOfYear
105,2020-04-14,2020,Q2,4,April,14,Tuesday,False,2020,Q2,16
106,2020-04-15,2020,Q2,4,April,15,Wednesday,False,2020,Q2,16
107,2020-04-16,2020,Q2,4,April,16,Thursday,False,2020,Q2,16
108,2020-04-17,2020,Q2,4,April,17,Friday,False,2020,Q2,16
109,2020-04-18,2020,Q2,4,April,18,Saturday,True,2020,Q2,16
110,2020-04-19,2020,Q2,4,April,19,Sunday,True,2020,Q2,16
111,2020-04-20,2020,Q2,4,April,20,Monday,False,2020,Q2,17
112,2020-04-21,2020,Q2,4,April,21,Tuesday,False,2020,Q2,17
113,2020-04-22,2020,Q2,4,April,22,Wednesday,False,2020,Q2,17
114,2020-04-23,2020,Q2,4,April,23,Thursday,False,2020,Q2,17
115,2020-04-24,2020,Q2,4,April,24,Friday,False,2020,Q2,17
116,2020-04-25,2020,Q2,4,April,25,Saturday,True,2020,Q2,17
117,2020-04-26,2020,Q2,4,April,26,Sunday,True,2020,Q2,17
118,2020-04-27,2020,Q2,4,April,27,Monday,False,2020,Q2,18
119,2020-04-28,2020,Q2,4,April,28,Tuesday,False,2020,Q2,18
120,2020-04-29,2020,Q2,4,April,29,Wednesday,False,2020,Q2,18
121,2020-04-30,2020,Q2,4,April,30,Thursday,False,2020,Q2,18
122,2020-05-01,2020,Q2,5,May,1,Friday,False,2020,Q2,18
123,2020-05-02,2020,Q2,5,May,2,Saturday,True,2020,Q2,18
124,2020-05-03,2020,Q2,5,May,3,Sunday,True,2020,Q2,18
125,2020-05-04,2020,Q2,5,May,4,Monday,False,2020,Q2,19
126,2020-05-05,2020,Q2,5,May,5,Tuesday,False,2020,Q2,19
127,2020-05-06,2020,Q2,5,May,6,Wednesday,False,2020,Q2,19
128,2020-05-07,2020,Q2,5,May,7,Thursday,False,2020,Q2,19
129,2020-05-08,2020,Q2,5,May,8,Friday,False,2020,Q2,19
130,2020-05-09,2020,Q2,5,May,9,Saturday,True,2020,Q2,19
131,2020-05-10,2020,Q2,5,May,10,Sunday,True,2020,Q2,19
132,2020-05-11,2020,Q2,5,May,11,Monday,False,2020,Q2,20
133,2020-05-12,2020,Q2,5,May,12,Tuesday,False,2020,Q2,20
134,2020-05-13,2020,Q2,5,May,13,Wednesday,False,2020,Q2,20
135,2020-05-14,2020,Q2,5,May,14,Thursday,False,2020,Q2,20
136,2020-05-15,2020,Q2,5,May,15,Friday,False,2020,Q2,20
137,2020-05-16,2020,Q2,5,May,16,Saturday,True,2020,Q2,20
138,2020-05-17,2020,Q2,5,May,17,Sunday,True,2020,Q2,20
139,2020-05-18,2020,Q2,5,May,18,Monday,False,2020,Q2,21
140,2020-05-19,2020,Q2,5,May,19,Tuesday,False,2020,Q2,21
141,2020-05-20,2020,Q2,5,May,20,Wednesday,False,2020,Q2,21
142,2020-05-21,2020,Q2,5,May,21,Thursday,False,2020,Q2,21
143,2020-05-22,2020,Q2,5,May,22,Friday,False,2020,Q2,21
144,2020-05-23,2020,Q2,5,May,23,Saturday,True,2020,Q2,21
145,2020-05-24,2020,Q2,5,May,24,Sunday,True,2020,Q2,21
146,2020-05-25,2020,Q2,5,May,25,Monday,False,2020,Q2,22
147,2020-05-26,2020,Q2,5,May,26,Tuesday,False,2020,Q2,22
148,2020-05-27,2020,Q2,5,May,27,Wednesday,False,2020,Q2,22
149,2020-05-28,2020,Q2,5,May,28,Thursday,False,2020,Q2,22
150,2020-05-29,2020,Q2,5,May,29,Friday,False,2020,Q2,22
151,2020-05-30,2020,Q2,5,May,30,Saturday,True,2020,Q2,22
152,2020-05-31,2020,Q2,5,May,31,Sunday,True,2020,Q2,22
153,2020-06-01,2020,Q2,6,June,1,Monday,False,2020,Q2,23
154,2020-06-02,2020,Q2,6,June,2,Tuesday,False,2020,Q2,23
155,2020-06-03,2020,Q2,6,June,3,Wednesday,False,2020,Q2,23
156,2020-06-04,2020,Q2,6,June,4,Thursday,False,2020,Q2,23
157,2020-06-05,2020,Q2,6,June,5,Friday,False,2020,Q2,23
158,2020-06-06,2020,Q2,6,June,6,Saturday,True,2020,Q2,23
159,2020-06-07,2020,Q2,6,June,7,Sunday,True,2020,Q2,23
160,2020-06-08,2020,Q2,6,June,8,Monday,False,2020,Q2,24
161,2020-06-09,2020,Q2,6,June,9,Tuesday,False,2020,Q2,24
162,2020-06-10,2020,Q2,6,June,10,Wednesday,False,2020,Q2,24
163,2020-06-11,2020,Q2,6,June,11,Thursday,False,2020,Q2,24
164,2020-06-12,2020,Q2,6,June,12,Friday,False,2020,Q2,24
165,2020-06-13,2020,Q2,6,June,13,Saturday,True,2020,Q2,24
166,2020-06-14,2020,Q2,6,June,14,Sunday,True,2020,Q2,24
167,2020-06-15,2020,Q2,6,June,15,Monday,False,2020,Q2,25
168,2020-06-16,2020,Q2,6,June,16,Tuesday,False,2020,Q2,25
169,2020-06-17,2020,Q2,6,June,17,Wednesday,False,2020,Q2,25
170,2020-06-18,2020,Q2,6,June,18,Thursday,False,2020,Q2,25
171,2020-06-19,2020,Q2,6,June,19,Friday,False,2020,Q2,25
172,2020-06-20,2020,Q2,6,June,20,Saturday,True,2020,Q2,25
173,2020-06-21,2020,Q2,6,June,21,Sunday,True,2020,Q2,25
174,2020-06-22,2020,Q2,6,June,22,Monday,False,2020,Q2,26
175,2020-06-23,2020,Q2,6,June,23,Tuesday,False,2020,Q2,26
176,2020-06-24,2020,Q2,6,June,24,Wednesday,False,2020,Q2,26
177,2020-06-25,2020,Q2,6,June,25,Thursday,False,2020,Q2,26
178,2020-06-26,2020,Q2,6,June,26,Friday,False,2020,Q2,26
179,2020-06-27,2020,Q2,6,June,27,Saturday,True,2020,Q2,26
180,2020-06-28,2020,Q2,6,June,28,Sunday,True,2020,Q2,26
181,2020-06-29,2020,Q2,6,June,29,Monday,False,2020,Q2,27
182,2020-06-30,2020,Q2,6,June,30,Tuesday,False,2020,Q2,27
183,2020-07-01,2020,Q3,7,July,1,Wednesday,False,2020,Q3,27
184,2020-07-02,2020,Q3,7,July,2,Thursday,False,2020,Q3,27
185,2020-07-03,2020,Q3,7,July,3,Friday,False,2020,Q3,27
186,2020-07-04,2020,Q3,7,July,4,Saturday,True,2020,Q3,27
187,2020-07-05,2020,Q3,7,July,5,Sunday,True,2020,Q3,27
188,2020-07-06,2020,Q3,7,July,6,Monday,False,2020,Q3,28
189,2020-07-07,2020,Q3,7,July,7,Tuesday,False,2020,Q3,28
190,2020-07-08,2020,Q3,7,July,8,Wednesday,False,2020,Q3,28
191,2020-07-09,2020,Q3,7,July,9,Thursday,False,2020,Q3,28
192,2020-07-10,2020,Q3,7,July,10,Friday,False,2020,Q3,28
193,2020-07-11,2020,Q3,7,July,11,Saturday,True,2020,Q3,28
194,2020-07-12,2020,Q3,7,July,12,Sunday,True,2020,Q3,28
195,2020-07-13,2020,Q3,7,July,13,Monday,False,2020,Q3,29
196,2020-07-14,2020,Q3,7,July,14,Tuesday,False,2020,Q3,29
197,2020-07-15,2020,Q3,7,July,15,Wednesday,False,2020,Q3,29
198,2020-07-16,2020,Q3,7,July,16,Thursday,False,2020,Q3,29
199,2020-07-17,2020,Q3,7,July,17,Friday,False,2020,Q3,29
200,2020-07-18,2020,Q3,7,July,18,Saturday,True,2020,Q3,29
201,2020-07-19,2020,Q3,7,July,19,Sunday,True,2020,Q3,29
202,2020-07-20,2020,Q3,7,July,20,Monday,False,2020,Q3,30
203,2020-07-21,2020,Q3,7,July,21,Tuesday,False,2020,Q3,30
204,2020-07-22,2020,Q3,7,July,22,Wednesday,False,2020,Q3,30
205,2020-07-23,2020,Q3,7,July,23,Thursday,False,2020,Q3,30
206,2020-07-24,2020,Q3,7,July,24,Friday,False,2020,Q3,30
207,2020-07-25,2020,Q3,7,July,25,Saturday,True,2020,Q3,30
208,2020-07-26,2020,Q3,7,July,26,Sunday,True,2020,Q3,30
209,2020-07-27,2020,Q3,7,July,27,Monday,False,2020,Q3,31
210,2020-07-28,2020,Q3,7,July,28,Tuesday,False,2020,Q3,31
211,2020-07-29,2020,Q3,7,July,29,Wednesday,False,2020,Q3,31
212,2020-07-30,2020,Q3,7,July,30,Thursday,False,2020,Q3,31
213,2020-07-31,2020,Q3,7,July,31,Friday,False,2020,Q3,31
214,2020-08-01,2020,Q3,8,August,1,Saturday,True,2020,Q3,31
215,2020-08-02,2020,Q3,8,August,2,Sunday,True,2020,Q3,31
216,2020-08-03,2020,Q3,8,August,3,Monday,False,2020,Q3,32
217,2020-08-04,2020,Q3,8,August,4,Tuesday,False,2020,Q3,32
218,2020-08-05,2020,Q3,8,August,5,Wednesday,False,2020,Q3,32
219,2020-08-06,2020,Q3,8,August,6,Thursday,False,2020,Q3,32
220,2020-08-07,2020,Q3,8,August,7,Friday,False,2020,Q3,32
221,2020-08-08,2020,Q3,8,August,8,Saturday,True,2020,Q3,32
222,2020-08-09,2020,Q3,8,August,9,Sunday,True,2020,Q3,32
223,2020-08-10,2020,Q3,8,August,10,Monday,False,2020,Q3,33
224,2020-08-11,2020,Q3,8,August,11,Tuesday,False,2020,Q3,33
225,2020-08-12,2020,Q3,8,August,12,Wednesday,False,2020,Q3,33
226,2020-08-13,2020,Q3,8,August,13,Thursday,False,2020,Q3,33
227,2020-08-14,2020,Q3,8,August,14,Friday,False,2020,Q3,33
228,2020-08-15,2020,Q3,8,August,15,Saturday,True,2020,Q3,33
229,2020-08-16,2020,Q3,8,August,16,Sunday,True,2020,Q3,33
230,2020-08-17,2020,Q3,8,August,17,Monday,False,2020,Q3,34
231,2020-08-18,2020,Q3,8,August,18,Tuesday,False,2020,Q3,34
232,2020-08-19,2020,Q3,8,August,19,Wednesday,False,2020,Q3,34
233,2020-08-20,2020,Q3,8,August,20,Thursday,False,2020,Q3,34
234,2020-08-21,2020,Q3,8,August,21,Friday,False,2020,Q3,34
235,2020-08-22,2020,Q3,8,August,22,Saturday,True,2020,Q3,34
236,2020-08-23,2020,Q3,8,August,23,Sunday,True,2020,Q3,34
237,2020-08-24,2020,Q3,8,August,24,Monday,False,2020,Q3,35
238,2020-08-25,2020,Q3,8,August,25,Tuesday,False,2020,Q3,35
239,2020-08-26,2020,Q3,8,August,26,Wednesday,False,2020,Q3,35
240,2020-08-27,2020,Q3,8,August,27,Thursday,False,2020,Q3,35
241,2020-08-28,2020,Q3,8,August,28,Friday,False,2020,Q3,35
242,2020-08-29,2020,Q3,8,August,29,Saturday,True,2020,Q3,35
243,2020-08-30,2020,Q3,8,August,30,Sunday,True,2020,Q3,35
244,2020-08-31,2020,Q3,8,August,31,Monday,False,2020,Q3,36
245,2020-09-01,2020,Q3,9,September,1,Tuesday,False,2020,Q3,36
246,2020-09-02,2020,Q3,9,September,2,Wednesday,False,2020,Q3,36
247,2020-09-03,2020,Q3,9,September,3,Thursday,False,2020,Q3,36
248,2020-09-04,2020,Q3,9,September,4,Friday,False,2020,Q3,36
249,2020-09-05,2020,Q3,9,September,5,Saturday,True,2020,Q3,36
250,2020-09-06,2020,Q3,9,September,6,Sunday,True,2020,Q3,36
251,2020-09-07,2020,Q3,9,September,7,Monday,False,2020,Q3,37
252,2020-09-08,2020,Q3,9,September,8,Tuesday,False,2020,Q3,37
253,2020-09-09,2020,Q3,9,September,9,Wednesday,False,2020,Q3,37
254,2020-09-10,2020,Q3,9,September,10,Thursday,False,2020,Q3,37
255,2020-09-11,2020,Q3,9,September,11,Friday,False,2020,Q3,37
256,2020-09-12,2020,Q3,9,September,12,Saturday,True,2020,Q3,37
257,2020-09-13,2020,Q3,9,September,13,Sunday,True,2020,Q3,37
258,2020-09-14,2020,Q3,9,September,14,Monday,False,2020,Q3,38
259,2020-09-15,2020,Q3,9,September,15,Tuesday,False,2020,Q3,38
260,2020-09-16,2020,Q3,9,September,16,Wednesday,False,2020,Q3,38
261,2020-09-17,2020,Q3,9,September,17,Thursday,False,2020,Q3,38
262,2020-09-18,2020,Q3,9,September,18,Friday,False,2020,Q3,38
263,2020-09-19,2020,Q3,9,September,19,Saturday,True,2020,Q3,38
